slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,x_kwh,y_kwh,q_kwh,z_kwh,soc_kwh,soc_previous_kwh,grid_purchase_kwh,charge_input_kwh,battery_charge_kwh,battery_discharge_kwh,supply_surplus_kwh,cost_yuan,throughput_kwh
63,10:30,0.9549,5873.4708,6914.5923,978.9118,1152.43205,0.0,0.0,173.52024999999992,0.0,2367.4140557407395,2211.2458307407396,0.0,173.52024999999992,156.16822499999992,0.0,0.0,0.0,156.16822499999992
64,10:40,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,0.0,0.0,201.02908333333323,0.0,2548.3402307407396,2367.4140557407395,0.0,201.02908333333323,180.92617499999992,0.0,0.0,0.0,180.92617499999992
65,10:50,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665,0.0,0.0,225.40611666666655,0.0,2751.2057357407393,2548.3402307407396,0.0,225.40611666666655,202.8655049999999,0.0,0.0,0.0,202.8655049999999
66,11:00,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,0.0,0.0,244.00925000000007,0.0,2970.8140607407395,2751.2057357407393,0.0,244.00925000000007,219.60832500000006,0.0,0.0,0.0,219.60832500000006
67,11:10,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808,0.0,575.1709166666666,833.3333333333334,0.0,3720.8140607407395,2970.8140607407395,575.1709166666666,833.3333333333334,750.0,0.0,0.0,268.14468135,750.0
68,11:20,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998,0.0,0.0,272.6315333333332,0.0,3966.1824407407394,3720.8140607407395,0.0,272.6315333333332,245.3683799999999,0.0,0.0,0.0,245.3683799999999
69,11:30,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,0.0,0.0,284.3209833333333,0.0,4222.07132574074,3966.1824407407394,0.0,284.3209833333333,255.88888499999996,0.0,0.0,0.0,255.88888499999996
70,11:40,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,179.2771713991806,0.0,289.3014666666668,0.0,4643.792100000002,4222.07132574074,179.2771713991806,468.5786380658474,421.72077425926267,0.0,0.0,85.7841265145079,421.72077425926267
71,11:50,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333,520.1245166666666,0.0,313.20881666666673,0.0,5393.792100000002,4643.792100000002,520.1245166666666,833.3333333333334,750.0,0.0,0.0,242.48204966999998,750.0
72,12:00,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055,486.40290000000005,0.0,346.9304333333333,0.0,6143.792100000002,5393.792100000002,486.40290000000005,833.3333333333334,750.0,0.0,0.0,215.57376528,750.0
73,12:10,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,480.41245000000004,0.0,352.92088333333334,0.0,6893.792100000002,6143.792100000002,480.41245000000004,833.3333333333334,750.0,0.0,0.0,211.909931695,750.0
74,12:20,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332,485.30000000000007,0.0,348.0333333333333,0.0,7643.792100000002,6893.792100000002,485.30000000000007,833.3333333333334,750.0,0.0,0.0,220.86003000000002,750.0
75,12:30,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312,488.6069666666667,0.0,344.72636666666665,0.0,8393.792100000002,7643.792100000002,488.6069666666667,833.3333333333334,750.0,0.0,0.0,218.06528922333334,750.0
76,12:40,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,498.2707333333333,0.0,335.0626000000001,0.0,9143.792100000004,8393.792100000002,498.2707333333333,833.3333333333334,750.0,0.0,0.0,204.93875261999997,750.0
77,12:50,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998,0.0,0.0,304.5517666666665,0.0,9417.888690000003,9143.792100000004,0.0,304.5517666666665,274.0965899999998,0.0,0.0,0.0,274.0965899999998
78,13:00,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965,0.0,0.0,264.5071833333334,0.0,9655.945155000003,9417.888690000003,0.0,264.5071833333334,238.05646500000006,0.0,0.0,0.0,238.05646500000006
79,13:10,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,0.0,0.0,242.50754999999992,0.0,9874.201950000002,9655.945155000003,0.0,242.50754999999992,218.25679499999993,0.0,0.0,0.0,218.25679499999993
80,13:20,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998,0.0,0.0,223.07558333333316,0.0,10074.969975000002,9874.201950000002,0.0,223.07558333333316,200.76802499999985,0.0,0.0,0.0,200.76802499999985
81,13:30,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998,0.0,0.0,198.75931666666656,0.0,10253.853360000001,10074.969975000002,0.0,198.75931666666656,178.88338499999992,0.0,0.0,0.0,178.88338499999992
82,13:40,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334,0.0,0.0,177.3598166666668,0.0,10413.477195000001,10253.853360000001,0.0,177.3598166666668,159.62383500000013,0.0,0.0,0.0,159.62383500000013
